ds,y
2025-04-18 20:29:03.870374,139.12
2025-04-18 20:31:03.870374,22.2
2025-04-18 20:37:03.870374,348.78000000000003
2025-04-18 20:38:03.870374,17.85
2025-04-18 20:48:03.870374,855.86
2025-04-18 21:03:03.870374,204.0
2025-04-18 21:04:03.870374,22.2
2025-04-18 21:05:03.870374,259.86
2025-04-18 21:12:03.870374,350.4
2025-04-18 21:35:03.870374,588.6600000000001
2025-04-18 21:37:03.870374,22.2
2025-04-18 21:40:03.870374,444.98
2025-04-18 21:44:03.870374,484.78
2025-04-18 21:48:03.870374,430.6
2025-04-18 21:56:03.870374,489.6
2025-04-18 21:59:03.870374,130.85
2025-04-18 22:00:03.870374,508.20000000000005
2025-04-18 22:01:03.870374,3193.92
2025-04-18 22:02:03.870374,226.14000000000001
2025-04-18 22:06:03.870374,358.25
2025-04-18 22:22:03.870374,1825.74
2025-04-18 22:32:03.870374,318.14
2025-04-18 22:40:03.870374,79.6
2025-04-18 22:42:03.870374,1024.68
2025-04-18 22:50:03.870374,507.88
2025-04-18 22:54:03.870374,655.36
2025-04-18 22:55:03.870374,448.76
2025-04-18 22:56:03.870374,17.4
2025-04-18 23:24:03.870374,354.23
2025-04-18 23:25:03.870374,357.0
2025-04-18 23:30:03.870374,192.60000000000002
2025-04-18 23:32:03.870374,471.3
2025-04-18 23:35:03.870374,326.4
2025-04-18 23:36:03.870374,353.14
2025-04-18 23:37:03.870374,22.2
2025-04-18 23:44:03.870374,783.11
2025-04-18 23:48:03.870374,243.28
2025-04-18 23:52:03.870374,514.41
2025-04-19 00:00:03.870374,390.79
2025-04-19 00:01:03.870374,225.7
2025-04-19 00:06:03.870374,233.45
2025-04-19 00:11:03.870374,666.35
2025-04-19 00:15:03.870374,842.12
2025-04-19 00:18:03.870374,440.89
2025-04-19 00:25:03.870374,312.94
2025-04-19 00:26:03.870374,320.25
2025-04-19 00:30:03.870374,2474.7400000000002
2025-04-19 00:34:03.870374,165.89
2025-04-19 00:38:03.870374,223.9
2025-04-19 00:39:03.870374,95.28999999999999
2025-04-19 00:41:03.870374,155.52
2025-04-19 00:43:03.870374,295.5
2025-04-19 00:46:03.870374,313.49
2025-04-19 00:51:03.870374,4.95
2025-04-19 00:52:03.870374,191.06
2025-04-19 00:53:03.870374,203.3
2025-04-19 00:54:03.870374,70.80000000000001
2025-04-19 00:57:03.870374,136.24
2025-04-19 01:01:03.870374,301.24
2025-04-19 01:07:03.870374,261.48
2025-04-19 01:20:03.870374,313.93
2025-04-19 01:23:03.870374,161.0
2025-04-19 01:24:03.870374,201.75
2025-04-19 01:26:03.870374,950.09
2025-04-19 01:27:03.870374,1919.14
2025-04-19 01:34:03.870374,156.1
2025-04-19 01:36:03.870374,115.65
2025-04-19 01:41:03.870374,194.85
2025-04-19 01:48:03.870374,165.04999999999998
2025-04-19 01:54:03.870374,369.5
2025-04-19 01:57:03.870374,255.0
2025-04-19 02:06:03.870374,487.75
2025-04-19 02:08:03.870374,555.38
2025-04-19 02:14:03.870374,787.4
2025-04-19 02:37:03.870374,146.61
2025-04-19 02:41:03.870374,101.55
2025-04-19 02:44:03.870374,537.38
2025-04-19 02:57:03.870374,215.14999999999998
2025-04-19 03:03:03.870374,799.4
2025-04-19 03:09:03.870374,322.40000000000003
2025-04-19 03:11:03.870374,532.59
2025-04-19 03:24:03.870374,116.25
2025-04-19 03:30:03.870374,251.40000000000003
2025-04-19 03:31:03.870374,5.04
2025-04-19 03:38:03.870374,662.29
2025-04-19 03:40:03.870374,294.62
2025-04-19 03:43:03.870374,442.34999999999997
2025-04-19 03:48:03.870374,143.12
2025-04-19 03:49:03.870374,17.85
2025-04-19 04:04:03.870374,1552.98
2025-04-19 04:14:03.870374,2558.42
2025-04-19 04:16:03.870374,497.0
2025-04-19 04:18:03.870374,279.6
2025-04-19 04:19:03.870374,315.96000000000004
2025-04-19 04:20:03.870374,97.2
2025-04-19 04:22:03.870374,330.0
2025-04-19 04:24:03.870374,502.04
2025-04-19 04:25:03.870374,1132.8000000000002
2025-04-19 04:27:03.870374,19.9
2025-04-19 04:28:03.870374,344.2
2025-04-19 04:36:03.870374,311.81
2025-04-19 04:52:03.870374,277.05
2025-04-19 04:55:03.870374,205.86
2025-04-19 05:00:03.870374,159.26
2025-04-19 05:01:03.870374,39.06
2025-04-19 05:18:03.870374,81.75
2025-04-19 05:25:03.870374,79.5
2025-04-19 05:27:03.870374,349.15000000000003
2025-04-19 05:38:03.870374,102.78999999999999
2025-04-19 19:51:03.870374,160.6
2025-04-19 19:52:03.870374,306.4
2025-04-19 20:35:03.870374,251.62
2025-04-19 20:36:03.870374,22.2
2025-04-19 20:37:03.870374,163.76
2025-04-19 20:43:03.870374,22.2
2025-04-19 20:46:03.870374,184.5
2025-04-19 20:55:03.870374,272.65000000000003
2025-04-19 21:32:03.870374,303.97
2025-04-19 21:40:03.870374,38.1
2025-04-19 21:44:03.870374,244.46
