customer_id,recency,frequency,monetary,churned,target_clv,primary_category
12346,325,1,77183.6,1,87410.21537174494,United Kingdom
12347,1,7,4310.0,0,4521.277047037553,Iceland
12348,74,4,1797.24,0,2105.309378950314,Finland
12349,18,1,1757.55,0,1693.4386571645136,Italy
12350,309,1,334.4,1,416.33753465779023,Norway
12352,35,8,2506.04,0,2110.463233234314,Norway
12353,203,1,89.0,1,107.11992468620787,Bahrain
12354,231,1,1079.4,1,1328.3742020524046,Spain
12355,213,1,459.4,1,555.2428559209588,Bahrain
12356,22,3,2811.43,0,2969.891183309692,Portugal
12357,32,1,6207.67,0,6326.8106444937775,Switzerland
12358,1,2,1168.06,0,1516.295063199124,Austria
12359,57,4,6372.58,0,5828.272296434173,Cyprus
12360,51,3,2662.06,0,2857.5563168599915,Austria
12361,286,1,189.9,1,215.60064113505186,Belgium
12362,2,10,5226.23,0,6012.431732284046,Belgium
12363,109,2,552.0,0,497.9108077438477,Unspecified
12364,7,4,1313.1,1,1479.8598213256964,Belgium
12365,290,2,641.38,1,775.5469362749002,Cyprus
12367,3,1,168.9,0,139.34406881254296,Denmark
12370,50,4,3545.69,0,4452.537967265321,Cyprus
12371,44,2,1887.96,0,1538.2192379759715,Switzerland
12372,71,3,1298.04,0,1269.4643195056178,Denmark
12373,310,1,364.6,1,294.562745673269,Austria
12374,24,1,742.9300000000001,0,623.0007300315559,Austria
12375,10,2,457.5,0,574.4297452349431,Finland
12377,314,2,1628.12,1,1591.3740078772091,Switzerland
12378,129,1,4008.62,0,4058.269826146238,Switzerland
12379,81,2,852.24,0,773.5545477947334,Belgium
12380,21,4,2724.81,0,2993.334262781238,Belgium
12381,4,5,1845.31,0,2025.0461600385358,Norway
12383,184,5,1850.56,1,1824.837578548039,Belgium
12384,28,2,585.27,0,565.6736597107728,Switzerland
12386,337,2,401.9,1,499.3535777288891,Australia
12388,15,6,2780.66,0,2757.419576901742,Australia
12390,79,1,549.84,0,575.54529276309,Belgium
12391,21,1,460.89,0,433.9981659770131,Cyprus
12393,71,4,1582.6000000000001,0,1888.6507080064953,Australia
12394,63,2,1272.48,0,1270.8564153454781,Belgium
12395,18,12,3018.63,0,3190.1048567150474,Belgium
12397,35,2,2409.9,0,2233.202722063389,Belgium
12398,45,1,1635.6599999999999,0,2116.265644404446,Switzerland
12399,118,4,1108.65,0,1048.5033765875428,Belgium
12401,302,1,84.3,1,99.92679767766901,Belgium
12402,322,1,225.6,1,228.70150936024243,Belgium
12403,49,1,427.7,0,386.2595920772433,Denmark
12405,148,1,1710.39,0,2052.2274883489295,Finland
12406,21,2,3415.3,0,3301.9236332854457,Denmark
12407,49,5,1708.1200000000001,0,2105.4230302785745,Belgium
12408,32,5,2888.55,0,3632.7230707471895,Belgium
12409,78,3,11072.67,0,13618.408793710962,Switzerland
12410,308,2,693.3299999999999,0,566.8000187865013,Switzerland
12412,74,3,1226.88,0,1464.510304759932,Denmark
12413,66,3,758.1,0,762.3982247765005,France
12414,216,3,562.41,1,695.6232537698426,Austria
12415,23,21,124914.53,0,139776.50244238036,Australia
12417,2,9,3649.1,0,4440.303580402359,Belgium
12418,112,1,668.58,0,701.8190463487844,Switzerland
12420,63,1,600.39,0,640.9239813530767,Cyprus
12421,15,4,807.04,0,703.8952973185774,Spain
12422,95,3,803.5600000000001,0,957.8384409742093,Australia
12423,0,8,1859.31,0,1877.3356494342584,Belgium
12424,162,2,1760.96,0,1849.0785425357633,Australia
12425,77,1,777.2,0,926.8489716975921,Portugal
12426,194,1,582.73,1,640.6665899941459,Germany
12427,21,3,825.8,0,743.6736645610774,Germany
12428,25,9,7956.46,0,8713.249271613857,Finland
12429,8,4,3750.4,0,3764.713135283451,Denmark
12430,42,1,256.4,0,265.3131744900232,Norway
12431,35,15,6487.45,0,5281.793988561793,Australia
12432,42,5,5059.32,1,4578.758844297357,Norway
12433,0,7,13375.87,0,12580.260420801029,Norway
12434,84,2,806.14,0,932.284790367649,Australia
12435,79,2,7829.89,0,6308.904400876091,Denmark
12436,99,1,509.01,0,511.24385686912024,Norway
12437,1,18,4951.41,0,6248.745943247339,France
12438,13,2,2906.85,0,2488.0900851079105,Norway
12441,366,1,173.55,1,183.65272628767002,France
12442,2,1,172.06,0,205.31252055708458,Spain
12444,20,5,5005.46,0,6363.269379269822,Norway
12445,21,1,133.4,0,156.53000185689902,Spain
12446,57,1,1002.3100000000001,0,1162.9630275308875,RSA
12447,242,1,476.49,1,578.0986550486895,Belgium
12448,43,1,449.45,0,459.8325693841785,Spain
12449,21,4,4067.29,0,4892.633704535593,Belgium
12450,155,2,197.88,0,159.09199820551495,Spain
12451,10,5,9035.52,0,11405.360953539113,Switzerland
12452,16,2,430.57,0,439.8932419014051,Switzerland
