ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-04,-143.99942680847462,-624.4025154839691,1074.020722109022,-143.99942680847462,-143.99942680847462,355.1853860839787,355.1853860839787,355.1853860839787,70.27390994943698,70.27390994943698,70.27390994943698,284.9114761345417,284.9114761345417,284.9114761345417,0.0,0.0,0.0,211.18595927550408
2025-05-08,-105.8231297740372,-830.42231328504,786.2828970259394,-105.8231297740372,-105.8231297740372,91.5293049530059,91.5293049530059,91.5293049530059,-163.01520339608066,-163.01520339608066,-163.01520339608066,254.54450834908658,254.54450834908658,254.54450834908658,0.0,0.0,0.0,-14.293824821031293
2025-05-09,-96.27905551542784,-700.0332942908383,873.018836096301,-96.27905551542784,-96.27905551542784,169.7450077236262,169.7450077236262,169.7450077236262,-79.31270049352588,-79.31270049352588,-79.31270049352588,249.0577082171521,249.0577082171521,249.0577082171521,0.0,0.0,0.0,73.46595220819836
2025-05-12,-67.64683273959977,-588.8470711881741,1024.8675300484776,-67.64683273959977,-67.64683273959977,254.0212001974663,254.0212001974663,254.0212001974663,21.022573498411102,21.022573498411102,21.022573498411102,232.99862669905522,232.99862669905522,232.99862669905522,0.0,0.0,0.0,186.37436745786653
2025-05-14,-48.55868422238106,-660.8546154441842,1021.6743351435094,-48.55868422238106,-48.55868422238106,231.18570913874015,231.18570913874015,231.18570913874015,11.141057524852377,11.141057524852377,11.141057524852377,220.04465161388774,220.04465161388774,220.04465161388774,0.0,0.0,0.0,182.6270249163591
2025-05-15,-39.014609963771704,-836.8831088267855,785.1438100953683,-39.014609963771704,-39.014609963771704,49.262229864212216,49.262229864212216,49.262229864212216,-163.01520339589965,-163.01520339589965,-163.01520339589965,212.27743326011188,212.27743326011188,212.27743326011188,0.0,0.0,0.0,10.247619900440512
2025-05-16,-29.47053570516235,-747.700184129002,917.1787047705516,-29.47053570516235,-29.47053570516235,124.15689314254509,124.15689314254509,124.15689314254509,-79.31270049336447,-79.31270049336447,-79.31270049336447,203.46959363590955,203.46959363590955,203.46959363590955,0.0,0.0,0.0,94.68635743738274
2025-05-17,-19.926461446553,-746.6505581863238,1028.209469062719,-19.926461446553,-19.926461446553,172.7837467849571,172.7837467849571,172.7837467849571,-20.760396774175653,-20.760396774175653,-20.760396774175653,193.54414355913272,193.54414355913272,193.54414355913272,0.0,0.0,0.0,152.8572853384041
2025-05-18,-10.38238718794362,-586.0745296111605,1040.3764335545563,-10.38238718794362,-10.38238718794362,252.74718488593567,252.74718488593567,252.74718488593567,70.27390994941523,70.27390994941523,70.27390994941523,182.47327493652043,182.47327493652043,182.47327493652043,0.0,0.0,0.0,242.36479769799206
2025-05-19,-0.8383129293342642,-658.8920248175028,1012.312936171752,-0.8383129293342642,-0.8383129293342642,191.30124521952968,191.30124521952968,191.30124521952968,21.0225734981496,21.0225734981496,21.0225734981496,170.2786717213801,170.2786717213801,170.2786717213801,0.0,0.0,0.0,190.46293229019543
