customer_id,recency,frequency,monetary,churned,target_clv,primary_category,cluster,segment_label,churn_prob,churn_risk,predicted_clv,next_best_action
12346,325,1,77183.6,1,87410.21537174494,United Kingdom,0,Core Accounts,0.9063825609971607,High,79375.71539725678,Assign Dedicated CSM & Offer 20% Discount
12347,1,7,4310.0,0,4521.277047037553,Iceland,3,At-Risk Accounts,0.04606965637474673,Low,4429.466111524303,Standard Quarterly Business Review
12348,74,4,1797.24,0,2105.309378950314,Finland,3,At-Risk Accounts,0.055257488165224175,Low,1923.3716331013247,Standard Quarterly Business Review
12349,18,1,1757.55,0,1693.4386571645136,Italy,3,At-Risk Accounts,0.06495596362166552,Low,1890.172542406539,Standard Quarterly Business Review
12350,309,1,334.4,1,416.33753465779023,Norway,1,Dormant,0.9144928795439443,High,307.9895288485309,Assign Dedicated CSM & Offer 20% Discount
12352,35,8,2506.04,0,2110.463233234314,Norway,3,At-Risk Accounts,0.04766973969198621,Low,2654.772513615046,Standard Quarterly Business Review
12353,203,1,89.0,1,107.11992468620788,Bahrain,1,Dormant,0.9441003095677949,High,307.9895288485309,Assign Dedicated CSM & Offer 20% Discount
12354,231,1,1079.4,1,1328.3742020524046,Spain,1,Dormant,0.9282446141743692,High,1114.5498450564974,Assign Dedicated CSM & Offer 20% Discount
12355,213,1,459.4,1,555.2428559209588,Bahrain,1,Dormant,0.9228090632836806,High,383.62163004584346,Assign Dedicated CSM & Offer 20% Discount
12356,22,3,2811.43,0,2969.891183309692,Portugal,3,At-Risk Accounts,0.053662628509059146,Low,2843.0490054701777,Standard Quarterly Business Review
12357,32,1,6207.67,0,6326.8106444937775,Switzerland,3,At-Risk Accounts,0.07781541346120432,Low,6631.318762841153,Standard Quarterly Business Review
12358,1,2,1168.06,0,1516.295063199124,Austria,3,At-Risk Accounts,0.06954184053795222,Low,1188.1864357413322,Standard Quarterly Business Review
12359,57,4,6372.58,0,5828.272296434173,Cyprus,3,At-Risk Accounts,0.05416312687880802,Low,6658.992275014036,Standard Quarterly Business Review
12360,51,3,2662.06,0,2857.5563168599915,Austria,3,At-Risk Accounts,0.07047123300400593,Low,2776.896484745754,Standard Quarterly Business Review
12361,286,1,189.9,1,215.60064113505183,Belgium,1,Dormant,0.9176496270536012,High,307.9895288485309,Assign Dedicated CSM & Offer 20% Discount
